,number,title_x,whites,reds,blues,greens,yellows,magentas,blacks,overlaps,density,texture,drips,words,characters,loneliness,hiding,peace_and_harmony,knowledge_and_empathy,secrets,friendship,dreams,pride,art,crypto,questions,money,drink,profanity,weight,rank_whites,rank_reds,rank_blues,rank_greens,rank_yellows,rank_magentas,rank_blacks,rank_overlaps,rank_density,rank_texture,rank_drips,rank_words,rank_characters,rank_weight,days_since_0714,title_y,usd,date,image,correlation,log_usd
59,271,Take it out of your face,0.384708,0.182662,0.162906,0.101646,0.085759,0.072533,0.009785,0.434911,0.529603,0.646168,0.562387,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,6583,9809,6270,257,381,7971,2850,2060,6276,7655,8646,8063,7433,8793,498 days ago,Take it out of your face,11488,03/03/2022,271,0.8967553023792363,9.349058291288005
60,276,King of the dance floors,0.383399,0.171946,0.164764,0.11274,0.1,0.062265,0.004887,0.529957,0.552111,0.635308,0.467554,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06,6332,6972,6851,2573,6038,2069,361,5198,6932,7366,6176,6140,7433,5354,683 days ago,King of the dance floors,50000,08/30/2021,276,0.8907353195432591,10.819778284410283
61,278,New flag,0.353869,0.183705,0.17327,0.115309,0.100298,0.067634,0.005915,0.496108,0.649507,0.595765,0.41319,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,1659,9874,8780,3498,6200,5013,848,3937,8995,6107,4252,167,163,1619,689 days ago,New flag,36951,08/24/2021,278,0.9077592683350216,10.517347989609593
62,283,Hold your tongue,0.392165,0.167372,0.171638,0.109876,0.089282,0.064422,0.005245,0.687876,0.535096,0.510476,0.538573,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,7722,4448,8510,1695,882,3048,519,9154,6454,3266,8199,1077,2877,2811,643 days ago,Hold your tongue,24500,10/09/2021,283,0.8662840797618723,10.106428396532818
63,288,If it takes you some more time,0.386609,0.173729,0.159901,0.101294,0.091927,0.077692,0.008848,0.392475,0.514437,0.723187,0.574135,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.41,6885,7746,5326,227,1648,9658,2254,1200,5792,9153,8810,9152,9109,8697,106 days ago,If it takes you some more time,5558,03/30/2023,288,0.8632555029813992,8.62299361030245
64,292,May take my heart,0.382278,0.175054,0.170188,0.107158,0.09286,0.066754,0.005708,0.508025,0.451559,0.541419,0.434255,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.19,6132,8286,8225,1047,2004,4450,741,4359,3845,4295,4992,3458,3491,8288,703 days ago,May take my heart,9292,08/10/2021,292,0.9049946609957784,9.1369090938903
65,293,Sounds strange,0.383328,0.168384,0.170014,0.107093,0.092826,0.073056,0.005299,0.511518,0.459703,0.523278,0.512955,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,6320,5026,8179,1034,1994,8230,551,4502,4075,3671,7597,167,1761,792,628 days ago,Sounds strange,28019,10/24/2021,293,0.9013591529054864,10.24063813046042
66,299,Tears of hope,0.402741,0.164301,0.16131,0.108581,0.088087,0.069352,0.005628,0.492024,0.501116,0.497888,0.423499,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,9011,2914,5780,1363,663,6088,705,3813,5345,2878,4601,1077,1339,6472,355 days ago,Tears of hope,9828,07/24/2022,299,0.8662265461089457,9.19299073364107
67,303,Examine you,0.394496,0.170256,0.159831,0.107279,0.092134,0.070095,0.005909,0.395468,0.517932,0.462913,0.453237,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,8059,6096,5298,1068,1718,6527,844,1247,5921,1971,5684,167,687,1063,503 days ago,Examine you,10775,02/26/2022,303,0.8844125296223392,9.28498391497195
68,307,Perfect for dealing with today,0.356687,0.16819,0.161187,0.128589,0.097169,0.073619,0.014558,0.31146,0.60604,0.609002,0.305836,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.62,1960,4905,5742,8031,4431,8497,7459,275,8287,6566,1085,6140,9109,9700,679 days ago,Perfect for dealing with today,57351,09/03/2021,307,0.9134569810581336,10.956945559197129
